big_title,sub_title,min_price,max_price,company,origin,car_type,img_src,engine,charger,emission,fuel,fuel_efficiency,occupancy,drive_type,gearshift
2021 SM6,TCe 300,30730000.0,34220000.0,르노삼성,국산,중형,https://imgauto-phinf.pstatic.net/20200715_42/auto_1594774792214qc0Pj_PNG/20200715095918_h5VMp0JY.png?type=f152_110,I4,싱글터보,"1,798cc",가솔린,DCT11.6~11.8km/ℓ (3등급),5,전륜구동,자동(DCT)7단
2021 쏘나타,N라인,30740000.0,36450000.0,현대,국산,중형,https://imgauto-phinf.pstatic.net/20201112_235/auto_1605141558006wsYqD_PNG/20201112093852_Lqu9aQSR.png?type=f152_110,I4,싱글터보,"2,497cc",가솔린,DCT11.1km/ℓ (4등급),5,전륜구동,자동(DCT)8단
2021 토요타 해리어,2.0 가솔린,30946500.0,40675500.0,토요타,수입,중형,https://imgauto-phinf.pstatic.net/20200414_52/auto_1586824560625YGcj5_PNG/20200414093533_jhbO3iss.png?type=f152_110,I4,자연흡기,"1,986cc",가솔린,,5,전륜구동,자동(CVT)
2020 싼타페,2.2 디젤,31220000.0,39860000.0,현대,국산,중형,https://imgauto-phinf.pstatic.net/20200630_265/auto_1593498491637fGGLG_PNG/20200630152810_qMutDFop.png?type=f152_110,I4,싱글터보,"2,151cc",디젤,DCT13.6~14.2km/ℓ (2등급~3등급),5,전륜구동,자동(DCT)8단
2021 스타리아,2.2 디젤 Tourer...,31270000.0,32790000.0,현대,국산,대형,https://imgauto-phinf.pstatic.net/20210325_107/auto_16166346329347frOn_PNG/20210325101017_zwPYzcUl.png?type=f152_110,I4,싱글터보,"2,199cc",디젤,"자동10.3km/ℓ (4등급)
 ",11,풀타임4륜구동,자동8단
2018 어큐라 ILX,2.4 가솔린,31402312.0,31402312.0,어큐라,수입,준중형,https://imgauto-phinf.pstatic.net/20180206_74/auto_1517884373785mwLTo_PNG/20180206113252_loNFL4FS.png?type=f152_110,I4직분사,자연흡기,"2,354cc",가솔린,"DCT29.0mpg 
별표*",5,전륜구동,자동(DCT)8단
2020 프로씨드,1.6 가솔린 터보,31403639.3,32878134.3,기아,수입,준중형,https://imgauto-phinf.pstatic.net/20200120_102/auto_15794898060156jqIM_PNG/20200120120943_3WuAR8Ei.png?type=f152_110,I4,싱글터보,"1,591cc",가솔린,"수동8.4ℓ/100km 
DCT7.1ℓ/100km ",5,전륜구동,"수동6단,자동(DCT)7단"
2020 쏘렌토,2.5 가솔린 터보...,31510000.0,41130000.0,기아,국산,중형,https://imgauto-phinf.pstatic.net/20200219_131/auto_1582076762090fYAKv_PNG/20200219104553_PnrMX7UI.png?type=f152_110,I4,싱글터보,"2,497cc",가솔린,DCT9.7~10.0km/ℓ (4등급),5,풀타임4륜구동,자동(DCT)8단
2021 카니발,3.5 가솔린 9인승,31600000.0,39850000.0,기아,국산,대형,https://imgauto-phinf.pstatic.net/20200828_288/auto_1598592143650dgyKY_PNG/20200828142222_lJzPLWp3.png?type=f152_110,V6,자연흡기,"3,470cc",가솔린,자동9.1km/ℓ (5등급),9,전륜구동,자동8단
2021 카니발,3.5 가솔린 11인승,31600000.0,39850000.0,기아,국산,대형,https://imgauto-phinf.pstatic.net/20200828_66/auto_1598592179629bPg0m_PNG/20200828142258_0N7AfS3f.png?type=f152_110,V6,자연흡기,"3,470cc",가솔린,자동9.1km/ℓ (5등급),11,전륜구동,자동8단
2020 그랜저,장애인용,31720000.0,35550000.0,현대,국산,준대형,https://imgauto-phinf.pstatic.net/20191128_32/auto_1574904392922aRcg2_PNG/20191128102632_PsOf9Ah8.png?type=f152_110,V6,자연흡기,"2,999cc",LPG,자동7.4~7.5km/ℓ (5등급),5,전륜구동,자동6단
2020 스코다 시티고 iV,61 kW,31748205.5,31748205.5,스코다,수입,경형,https://imgauto-phinf.pstatic.net/20191121_2/auto_1574302151883lQkSK_PNG/20191121110904_rIqaJRPW.png?type=f152_110,,,,전기,자동7.8km/kWh ,4,전륜구동,자동
2020 미니 해치백,쿠퍼,31800000.0,37800000.0,미니,수입,소형,https://imgauto-phinf.pstatic.net/20190530_250/auto_1559192521489Mdwpf_PNG/20190530140159_Vn5o6SXp.png?type=f152_110,I3,싱글터보,"1,499cc",가솔린,DCT12.3km/ℓ (3등급),4,전륜구동,자동(DCT)7단
2020 싼타페,2.5 가솔린 터보...,32010000.0,40650000.0,현대,국산,중형,https://imgauto-phinf.pstatic.net/20200630_25/auto_1593498519990y56Jr_PNG/20200630152838_RzjXUwCK.png?type=f152_110,I4,싱글터보,"2,497cc",가솔린,DCT9.5~9.9km/ℓ (4등급),5,풀타임4륜구동,자동(DCT)8단
2021 K8,3.5 LPG,32200000.0,36590000.0,기아,국산,준대형,https://imgauto-phinf.pstatic.net/20210413_77/auto_1618275635691179uW_PNG/20210413100032_LbdY9Hiw.png?type=f152_110,V6,자연흡기,"3,470cc",LPG,자동7.7~8.0km/ℓ (5등급),5,전륜구동,자동8단
2020 스바루 BRZ,2.0 가솔린,32234864.4,35196292.4,스바루,수입,스포츠카,https://imgauto-phinf.pstatic.net/20180207_55/auto_1517989432027EFo01_PNG/20180207164344_fP4GSxHU.png?type=f152_110,F4,자연흡기,"1,998cc",가솔린,,4,후륜구동,수동6단
2021 시트로엥 C4 칵투스,1.5 Blue HDi,32380000.0,32380000.0,시트로엥,수입,소형,https://imgauto-phinf.pstatic.net/20190128_272/auto_15486509420003ve5F_PNG/20190128134900_Me0qYifD.png?type=f152_110,I4,싱글터보,"1,499cc",디젤,자동15.5km/ℓ (2등급),5,전륜구동,자동6단
2020 쏘렌토,2.2 디젤 AWD,32500000.0,41130000.0,기아,국산,중형,https://imgauto-phinf.pstatic.net/20200219_131/auto_1582076762090fYAKv_PNG/20200219104553_PnrMX7UI.png?type=f152_110,I4,싱글터보,"2,151cc",디젤,DCT13.7km/ℓ (3등급),5,풀타임4륜구동,자동(DCT)8단
2018 마쯔다6 ,2.5 터보,32631584.0,38833820.0,마쯔다,수입,중형,https://imgauto-phinf.pstatic.net/20180404_199/auto_1522825267198Da3XE_PNG/20180404160105_YM7WvI0X.png?type=f152_110,l4,싱글터보,"2,488cc",가솔린,"자동26.0mpg 
 ",5,전륜구동,자동6단
2020 미니 해치백 5도어,쿠퍼,32700000.0,38800000.0,미니,수입,소형,https://imgauto-phinf.pstatic.net/20190530_63/auto_15591936761621xQSt_PNG/20190530142114_mhJIHSv9.png?type=f152_110,I3,싱글터보,"1,499cc",가솔린,DCT12.1km/ℓ (3등급),5,전륜구동,자동(DCT)7단
2021 푸조 308,1.5 BlueHDi,32780000.0,34760000.0,푸조,수입,준중형,https://imgauto-phinf.pstatic.net/20201025_143/auto_16036162382966GEaI_PNG/20201025175716_XzqI5ACQ.png?type=f152_110,l4,싱글터보,"1,499cc",디젤,자동15.1~15.4km/ℓ (2등급),5,전륜구동,자동8단
2021 푸조 2008,1.5 BlueHDi,32780000.0,35850000.0,푸조,수입,소형,https://imgauto-phinf.pstatic.net/20200615_278/auto_1592185776391tGEw7_PNG/20200615104927_rn0rMRXl.png?type=f152_110,I4,싱글터보,"1,499cc",디젤,자동17.1km/ℓ (1등급),5,전륜구동,자동8단
2021 K8,2.5 가솔린,32790000.0,38680000.0,기아,국산,준대형,https://imgauto-phinf.pstatic.net/20210413_19/auto_16182755921332BJzQ_PNG/20210413095950_uF8JEOEE.png?type=f152_110,I4,자연흡기,"2,497cc",가솔린,자동11.7~12.0km/ℓ (3등급),5,전륜구동,자동8단
2021 카니발,2.2 디젤 11인승,32800000.0,41050000.0,기아,국산,대형,https://imgauto-phinf.pstatic.net/20200828_48/auto_1598592161105z2SWg_PNG/20200828142240_vnCMUCRm.png?type=f152_110,I4,싱글터보,"2,151cc",디젤,자동12.7km/ℓ (3등급),11,전륜구동,자동8단
2021 카니발,2.2 디젤 9인승,32800000.0,41050000.0,기아,국산,대형,https://imgauto-phinf.pstatic.net/20200828_129/auto_15985921127759e6A8_PNG/20200828142151_HLLVB9DK.png?type=f152_110,I4,싱글터보,"2,151cc",디젤,자동13.1km/ℓ (3등급),9,전륜구동,자동8단
